Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-08-08,84,0,0.0229166666666666,0.8967916666666667,0.0802916666666666,9.916666666666666,4.1875,0.0173378,0.0173378,0.0146314,0.0150371,5225260.0,228144175.159,2018-08-08T00:00:00.000Z,2018-08-08T00:04:00.000Z,2018-08-08T18:44:02.000Z,2018-08-08T23:59:59.999Z,2,0
2018-08-09,85,1,0.0025714285714285,0.9148285714285714,0.0826,17.257142857142856,7.885714285714286,0.0151293,0.0159645,0.0146625,0.0156923,3254390.0,238084925.94,2018-08-09T00:00:00.000Z,2018-08-09T23:19:02.000Z,2018-08-09T13:39:02.000Z,2018-08-09T23:59:59.999Z,2,0
2018-08-10,86,0,0.0617096774193548,0.8887096774193549,0.0495483870967741,5.548387096774194,1.4516129032258065,0.0156549,0.0159233,0.0137902,0.0139909,2725310.0,212271138.732,2018-08-10T00:00:00.000Z,2018-08-10T01:19:00.000Z,2018-08-10T23:19:03.000Z,2018-08-10T23:59:59.999Z,2,0
2018-08-11,87,0,0.0272424242424242,0.8817575757575757,0.0909696969696969,1.303030303030303,0.4848484848484848,0.0140465,0.0140915,0.0125793,0.013334,3716930.0,202304595.405,2018-08-11T00:00:00.000Z,2018-08-11T00:14:03.000Z,2018-08-11T14:14:04.000Z,2018-08-11T23:59:59.999Z,2,0
2018-08-12,88,0,0.0123478260869565,0.9102173913043478,0.0774347826086956,6.521739130434782,2.4347826086956523,0.0132541,0.0136053,0.013133,0.0133207,1488040.0,202102806.661,2018-08-12T00:00:00.000Z,2018-08-12T12:04:08.000Z,2018-08-12T00:14:07.000Z,2018-08-12T23:59:59.999Z,2,0
2018-08-13,89,0,0.0447872340425531,0.8927234042553192,0.062531914893617,3.9574468085106393,1.319148936170213,0.0133272,0.0136443,0.0117441,0.0117737,2942210.0,178631589.54,2018-08-13T00:00:00.000Z,2018-08-13T11:19:07.000Z,2018-08-13T22:44:11.000Z,2018-08-13T23:59:59.999Z,2,0
2018-08-14,90,0,0.0673214285714285,0.8962142857142857,0.0363928571428571,8.214285714285714,3.1785714285714284,0.0118072,0.0118072,0.010062,0.0114116,3998980.0,173137777.181,2018-08-14T00:00:00.000Z,2018-08-14T00:04:11.000Z,2018-08-14T02:14:09.000Z,2018-08-14T23:59:59.999Z,2,0
2018-08-15,91,0,0.0137222222222222,0.9230277777777778,0.06325,2.9444444444444446,0.9722222222222222,0.0114484,0.0124455,0.0113764,0.0114139,2783880.0,173172672.979,2018-08-15T00:00:00.000Z,2018-08-15T16:39:12.000Z,2018-08-15T23:39:11.000Z,2018-08-15T23:59:59.999Z,2,0
2018-08-20,92,0,0.0125208333333333,0.945,0.0424583333333333,5.1875,2.25,0.0142952,0.01467,0.0128699,0.0131106,2473100.0,198915151.382,2018-08-20T00:00:00.000Z,2018-08-20T02:49:21.000Z,2018-08-20T23:09:02.000Z,2018-08-20T23:59:59.999Z,2,0
2018-08-21,93,0,0.0208235294117647,0.9267352941176472,0.0524411764705882,8.705882352941176,3.735294117647059,0.0131108,0.0137048,0.0127796,0.0131653,2510650.0,199745064.489,2018-08-21T00:00:00.000Z,2018-08-21T08:49:02.000Z,2018-08-21T16:54:03.000Z,2018-08-21T23:59:59.999Z,2,0
2018-08-22,94,0,0.0071111111111111,0.9336388888888888,0.05925,9.25,4.555555555555555,0.0131496,0.0142138,0.0122353,0.0125537,3451880.0,190465816.66,2018-08-22T00:00:00.000Z,2018-08-22T02:09:01.000Z,2018-08-22T22:24:01.000Z,2018-08-22T23:59:59.999Z,2,0
2018-08-23,95,0,0.0289499999999999,0.9297,0.04135,3.775,2.1,0.012535,0.0128928,0.0122082,0.0128194,4710900.0,194497039.924,2018-08-23T00:00:00.000Z,2018-08-23T17:29:04.000Z,2018-08-23T10:59:01.000Z,2018-08-23T23:59:59.999Z,2,0
2018-08-24,96,0,0.0035294117647058,0.9552352941176472,0.041235294117647,7.254901960784314,2.823529411764706,0.0128457,0.0137412,0.0123324,0.0136813,6343810.0,207573860.891,2018-08-24T00:00:00.000Z,2018-08-24T22:54:01.000Z,2018-08-24T01:59:02.000Z,2018-08-24T23:59:59.999Z,2,0
2018-08-25,97,0,0.0108666666666666,0.9334,0.0557333333333333,6.1,2.5,0.0136227,0.0139702,0.0132532,0.0138239,5785740.0,209737400.362,2018-08-25T00:00:00.000Z,2018-08-25T20:19:05.000Z,2018-08-25T10:29:03.000Z,2018-08-25T23:59:59.999Z,2,0
2018-08-26,98,0,0.0436818181818181,0.8794545454545454,0.0768181818181818,10.045454545454543,3.6818181818181817,0.0138472,0.0138867,0.0132836,0.0136823,6484900.0,207589032.977,2018-08-26T00:00:00.000Z,2018-08-26T01:39:03.000Z,2018-08-26T06:09:02.000Z,2018-08-26T23:59:59.999Z,2,0
2018-08-27,99,0,0.0,0.9551590909090908,0.044840909090909,8.840909090909092,4.704545454545454,0.0136973,0.0144765,0.0134081,0.0144765,5540860.0,219638703.719,2018-08-27T00:00:00.000Z,2018-08-27T23:59:02.000Z,2018-08-27T03:09:00.000Z,2018-08-27T23:59:59.999Z,2,0
2018-08-28,100,0,0.0222777777777777,0.9120833333333334,0.0656111111111111,8.694444444444445,4.472222222222222,0.0144687,0.0158674,0.0144687,0.0156996,7334940.0,238195682.168,2018-08-28T00:00:00.000Z,2018-08-28T19:59:02.000Z,2018-08-28T00:04:00.000Z,2018-08-28T23:59:59.999Z,2,0
2018-08-29,101,0,0.0041538461538461,0.969403846153846,0.0264423076923076,14.403846153846152,6.75,0.0157452,0.0157733,0.0145109,0.0147352,7122540.0,223563722.38,2018-08-29T00:00:00.000Z,2018-08-29T00:19:02.000Z,2018-08-29T16:14:02.000Z,2018-08-29T23:59:59.999Z,2,0
